"University" ,"Guidelines"
"University of California  Irvine (UCI)" ,   "Rapidly evolving generative AI tools include text-generating AI chat services (e.g.  ChatGPT  Bard  Claude)  as well as image-generating  audio  and video AI tools. These machine learning-powered tools are increasingly integrated into our daily communication apps  word-processing software  and technology broadly. In order to best serve our students  we need to engage with generative AI in meaningful ways across the curriculum.At one level  generative AI tools are no different than any other tools with regard to their impact on teaching decisions. Faculty will need to consider how to leverage tools to benefit student learning  asking question such as:How can this help me prepare course materials or handle administrative aspects of instruction? How  if at all  can they help students master my course outcomes? Where  if at all  in my course should I be explicitly teaching how to use the tool? Where  if at all  is it appropriate in my course for students to use the tool independent of goals one and two? Faculty also need to be aware of pitfalls and dangers  such as:How might use of the tool negatively impact students learning in the course?What equity and access issues does the existence of the tool raised for my course?How will I address concerns with data privacy breaches  intellectual property protection  algorithmic biases  and  hallucinations   situations where generative AI provides false information Ultimately  individual faculty will need to make decisions based on the context of their course  course objectives  students academic progression  and disciplinary-specific goals of their students learning experiences.One of the challenges faculty have in making these decisions is that the tools are potentially moving faster than research into the use and impact of the tools. However  UCI has significant expertise in this space  and we will continue to update the information as we learn more from research. The following links provide important resources in this space."


"Johns Hopkins",   "Student Use of Generative AI As the availability of generative AI grows and the quality of these tools improves  student and faculty perspectives on the use of generative AI become more diverse—with some expressing academic integrity concerns and others advocating for thoughtful ways to incorporate these tools into learning. The Whiting School of Engineering (WSE) recommends communicating with students about their perspectives and the various approaches that can be taken when using these tools in higher education. By engaging in these discussions  collectively  we can learn more about diverse perspectives and better understand the benefits and drawbacks of generative AI  whether it is permissible to use in your courses  and how these tools support or hinder learning and achievement of course objectives. Policies in Higher Education To address these issues  provide explicit guidelines within course syllabi that clearly outline whether and how AI tools can be incorporated into activities or assignments. If applicable  students should also be informed about the appropriate way to acknowledge the use of such tools in their submitted work. Example syllabus guidelines: Students are encouraged to explore and experiment with generative AI tools for learning purposes  but any use in assessments must be clearly indicated and appropriately attributed. The use of generative AI tools is strictly prohibited in all assessments to ensure fair evaluation of individual student performance. Generative AI tools may be used in activities and assignments  but students must include a reflection on their use and how it impacted their understanding of the material."


"California Institute Of Technology",  "We write to provide initial guidance to encourage the responsible use of generative artificial intelligence (GenAI) and large language model (LLM) tools and technologies  such as OpenAI s ChatGPT and Dall-E and Google s Bard in research  education  and administrative work at Caltech. As a research and education institute  committed to advancing the frontiers of science and engineering and expanding knowledge  we support a responsible  measured experimentation with and use of new technologies. While doing this  however  Caltech requires that you follow all existing applicable regulations and Institute policies. These include  but are not limited to  ensuring protection of confidential  personal  or business information and intellectual property  and adherence to the honor code  course requirements  research integrity  and publication ethics. GenAI and LLM technologies have evolved rapidly in their use and application this past year and are expected to continue to evolve in ways society cannot predict. Likewise  our guidance for the appropriate use of these tools is written for the present moment and will likely evolve alongside the technology. In the interim  however  as you use GenAI and LLM technologies in your work at Caltech  we ask that you apply these four guiding principles to your practice: disclosure  data and information protection  content responsibility  and Caltech s honor code. Disclosure: When using GenAI  always disclose promptly  or reference the use of GenAI tools and application plug-ins  as applicable. This transparent disclosure ensures that others are aware when GenAI was used to generate content and reduces misunderstandings regarding the source of information  potentially limiting claims of academic dishonesty or plagiarism. When using GenAI to write or publish  please make sure to follow the guidance provided by the course instructor or journal or manuscript publisher/editor. For example  some may require that the GenAI be included as an author  others may simply require acknowledgement.Data and Information Protection: Federal  state  and local laws as well as Caltech policies may limit data that can be disclosed. Unless you are using a GenAI application that ensures separation of your entry from other entries and confidentiality (usually a paid service)  uploading content into GenAI (Open GenAI) is a public disclosure. It is safest to assume data or queries uploaded into Open GenAI tools will become public information  unless otherwise indicated. In order to protect Caltech data and information  do not enter  contribute  or otherwise input sensitive  confidential  or restricted information into Open GenAI tools. This includes  but is not limited to  data covered by regulations such as FERPA and HIPAA  any intellectual property or unpublished research data  export-controlled data  and other sensitive HR  business  or administrative data. Caltech is considering a subscription to a restricted GenAI and will keep you apprised of its progress in securing such a service. In the meantime  Caltech has and continues to reserve the right to disable or limit access to AI companion tools in enterprise business software and applications  such as Zoom and Microsoft Office suites. Content Responsibility: Remember that GenAI systems are fallible. Responses can be inaccurate  misleading  and even entirely fabricated. Therefore  you should always review and assess all output generated by GenAI tools for accuracy before relying on them or distributing them publicly.Honor Code: Caltech s honor code underscores the importance of ethical conduct and fairness and extends to the use of GenAI tools and is stated as follows:  No member of the Caltech community shall take unfair advantage of any other member of the Caltech community.  These guidelines have been posted to the Information Management and Support Services (IMSS) website. Please note that we offer these guidelines in addition to the teaching resources that have already been provided by the Center for Teaching  Learning  and Outreach.The Institute s guidance promotes responsible and ethical use of GenAI and LLM tools at Caltech  and fosters a community that values transparency  integrity  privacy  accuracy  and fairness. Caltech may update its guidance as the technology and regulatory and commercial landscapes evolve. Thank you for adhering to these guidelines."

"University of Washington",  "ChatGPT and other AI-based tools Tools that use artificial intelligence (AI) and large language models to generate text or images are increasingly at the forefront of teaching and learning conversations. Many students now use these tools  sometimes with the encouragement of their instructors  to complete assignments. Other instructors would prefer that students not use AI-based tools to complete assignments. Because generative AI tools are constantly evolving  it is very difficult to develop technology that can reliably identify when a student uses AI to complete an assignment. Thus  a policing approach to student use of AI has the potential to be both time-consuming and unsuccessful. Instead  it is important to help students understand the issues associated with AI and its relationship to learning in general and your class in particular. The following strategies can help instructors think about how to communicate with students  set expectations  and design assignments that increase students motivation to develop their own skills and ideas. Set expectations – Establish a policy for your course around the use of AI-based tools (e.g.  ChatGPT) and communicate this with students through the syllabus and/or assignment prompts. Discuss how you will proceed if you discover that a student has turned in AI-generated work.Communicate the importance of college learning – Many students are focused only on learning that seems related to their intended career track. However  the vast majority of them will change careers at least once in their lives. Talk with students about how the relevance of your course may only become apparent years from now. The skills they are learning will likely transfer to other careers – even careers that do not yet exist! Acknowledge that struggle is part of learning –  Talk with students about how intellectual struggle is an inherent part of learning. Learning happens only when we move outside what we already know. Seeking a shortcut or workaround through AI tools only prevents them from learning. The short-term consequence is that they pay for a benefit they never receive. The long-term consequence is that they miss the opportunity to become better  more effective thinkers  writers  researchers  and creators.Discuss the social  ethical  and practical issues surrounding AI – The processes that support the development and functionality of AI-based tools raise issues related to privacy  disinformation  environmental impact  bias  exploitation  and academic integrity  among other things. In addition  although AI-generated output appears authoritative and factual  it is frequently riddled with inaccuracy. Discussing these issues with students can help them see the social context of AI and can position them to make thoughtful decisions about their own use of AI-based tools.Assess process as much as (or more than) product – Lowering the stakes of individual assignments reduces students motivation for cheating and encourages them to build their own skills and competencies. Low- or no-stakes formative assessments reinforce the notion that learning is a process and demonstrates to students that what s valuable is the learning  not the grade.Design assignments that ask students to connect course content  class discussion  and lived experience. It s harder for AI-based tools to effectively connect the dots between these sources of knowledge. Consider teaching through AI-based tools. Think about how using AI-based tools might facilitate students learning and prepare them to thoughtfully engage these tools in their personal and professional lives. How can students use AI-generated output to think critically and analytically? How can these tools help them ask questions about digital literacy and information accuracy? Further down this page we ve provided some examples of how to integrate AI into assignments.Students are expected to practice high standards of academic and professional honesty and integrity. The University communicates with students about the importance of knowing and understanding the expectations of both the University and specific instructors regarding academic standards. If you have prohibited the use of AI-based tools and suspect that a student has engaged in academic misconduct  you can make a report to your campus Student Conduct office. Teaching with AI Below are some examples of how instructors might use AI to facilitate learning. Many of these examples familiarize students with AI-based tools  but also prompt critical examination of their value  accuracy  strengths  and shortcomings. This list is a work in progress. If you are using AI in your own teaching and would like to share what you re doing on this page  we invite you to complete this form. Think-pair-AI-share. Students think (as individuals) about a question/concept  then pair up with a peer to discuss. The pair then plugs the question/concept into an AI tool (e.g.  ChatGPT  GPT4  Bing Chat) and discusses or analyzes the output.Evaluating AI output. Co-develop a rubric with students that describes the components of an effective essay  lab report  précis  technical manual  blog post  etc. Students prompt an AI tool to generate three versions of the assignment on a given topic and then use the rubric to evaluate the quality of the AI-generated versions.Improving upon/adapting AI-generated output. Students use an AI tool to draft text or code in response to a prompt. Students must then improve upon the AI-generated output. When students turn in their assignment  they must include both the AI-generated text and their improved version.Explaining the steps in an AI-generated solution. Students use AI to solve a math problem. Working from the AI-generated solution  they then work in groups to explain or analyze the steps that the AI tool used to arrive at the solution. Visualizing concepts with AI. Students select a concept covered in lecture or course readings. Students then prompt an Al image generator to create an image that represents the connection between the concept and daily life. They must then explain how the Al-generated image conveys the concept and its relationship to daily life. Students might also analyze the strengths and shortcomings of AI image generators.Exploring AI in your field. Students explore current applications of AI in the discipline of the course or in their major. Within the context of the discipline (or their major)  students examine both AI s advantages and limitations."

"Case Western Reserve University", "As generative artificial intelligence (AI) tools like ChatGPT and Bard become more advanced and ubiquitous  [U]Tech reminds users to protect private information—their own  and the university s. Entering data into a generative AI tool or service   said [U]Tech Vice President Miro Humer   is like posting that data on a public website. Artificial intelligence tools collect and store data from users as part of their learning process. Any information entered into an AI tool becomes part of its training data  which may then be shared with others Among the types of data that should not be used in AI tools are:Personal information: Home and email addresses  phone numbers  dates of birth  employee or student information  disciplinary or legal documents  patient records  other protected health information and personally identifiable information.Research materials: Grant proposals  unpublished data  research drafts  documents related to intellectual property and information subject to export control technology control plans.Information subject to local  state and/or federal protections: These include academic records  data requiring parental consent to provide or accept  data cited in executed nondisclosure agreements  numerical identification (e.g. driver s license  passport  etc.)."


"Umass Boston",  "AI Policy Ideas for Syllabus Faculty determine their own policy for generative AI use in their course. Depending on their policy  instructors can include text similar to that below to clarify the use of AI in their course. Prohibiting AI-based cheating: The use of AI or any other automated system for cheating purposes is strictly prohibited in this course. This includes the use of AI tools for generating papers  presentations  or any other assignments. Any such use will be considered a violation of the academic integrity policy and appropriate action will be taken. Ethical use of AI: Students are expected to use AI tools and resources ethically and responsibly. This includes ensuring that any data used in AI systems is properly licensed  and that any AI-generated content is appropriately cited. Additionally  any AI-generated content that is shared with others should be clearly labeled as such to avoid misrepresentation. Any violations of ethical use policies will be taken seriously and appropriate action will be taken. ChatGPT or other AI generative technologies can provide assistance to teachers in higher education in a number of ways. Here are a few examples:Answering questions: It can provide quick and accurate answers to a wide variety of questions related to the subject matter being taught. This can help teachers save time and provide students with accurate information  including topic options for projects. Offering feedback: Instructors can use it to evaluate student work and generate feedback on assignments  essays  and other projects. It can help identify areas of strength or make suggestions for improvement that you can personalize for your students prior to providing the feedback. Providing resources: It can help teachers locate and share relevant resources  such as articles  videos  content topics  and online tools that can help enhance the learning experience for students.Generating content: Instructors can use it to generate content  such as discussion prompts  quizzes  and assignments. This can help teachers save time and provide students with a wider range of engaging content that can be generated quickly and easily using effective prompts.Identifying research topics: Instructors can prompt Chat GPT or another Generative AI tool to explore potential research topics for themselves or student deliverables. It s important to further research all information collected by a generative AI tool to ensure accuracy of content and sources provided. Students can benefit from ChatGPT or other AI Generative technologies by using the tool as a tutor or learning partner. Some ideas:Answering questions: Students can ask any questions they may have related to their coursework or the subject matter being taught. It can pool multiple resources and provide efficient answers  helping students to better understand the material.Generating content: Students can use it to generate content for deliverables by helping them develop their ideas  structure their arguments  and identify relevant sources. It s important to further research any information collected by a generative AI tool to ensure accuracy of content and sources provided.Providing feedback: Students can use it to receive feedback on their work. It can help identify areas of strength and areas for improvement  and provide suggestions for how they can improve their work.Improving study skills: Students can use it to improve their study skills. For example  they can use it to generate study guides or flashcards  or to practice answering sample questions. This can help them better prepare for exams and retain information more effectively. Authentic assessment can be a helpful tool in preventing students from cheating when using ChatGPT or other Generative AI tools. Authentic assessment refers to assessments that measure students  understanding of the material in a real-world context  rather than just memorization or regurgitation of facts. Here are a few ways that authentic assessment can help prevent cheating: Assessing application  not just recall: Authentic assessments typically require students to apply their knowledge to real-world situations or scenarios. This type of assessment requires a deeper understanding of the material  rather than just memorization. Because of this  it can be more difficult for students to cheat by relying solely on ChatGPT or other AI language models to provide answers. Focusing on process  not just product: Authentic assessment often involves a process of inquiry or investigation  rather than just a final product. This process can be more difficult to cheat on  as it requires students to engage with the material in a more meaningful way. Additionally  authentic assessment can be designed in a way that makes it difficult for students to simply copy and paste answers from ChatGPT.Incorporating student choice and creativity: Authentic assessment often allows for more student choice and creativity  which can make it more difficult for students to cheat. By allowing students to choose their own topics or projects  for example  they are less likely to find pre-made answers on ChatGPT that they can simply copy and paste. Overall  authentic assessment can be a valuable tool in preventing cheating when using ChatGPT or other AI language models. By designing assessments that require deeper understanding  focus on process  and incorporate student choice and creativity  instructors can help ensure that students are engaging with the material in a meaningful way and not just relying on AI for answers.Generative AI language tools learn from the material they are exposed to from the users. We recommend that you use these tools to collect general information for your educational needs  but not provide the AI tool with materials unpublished or proprietary educational materials  as they could then be used to answer another person s question. There are ways that both students and instructors can protect their data when using AI-powered platforms: Read the privacy policy: Before using any AI-powered platform  students and instructors should read the platform s privacy policy to understand how their data will be collected  stored  and used. They should also look for platforms that are transparent about their data collection and use policies. Be mindful of sharing data: Students and instructors should be cautious about sharing novel ideas  personal  or professional data on AI-powered platforms that aren t previously published or copyrighted. Use the Generative AI tool as a tool to collect information for you  not a tool that collects your information"


"ASU",  "Resources for use in teaching Gen AI has the potential to address some of the biggest challenges in education today. Nonetheless  as educators and students  we face a new frontier as we navigate a world in which the distinction between content generated by AI and humans is rapidly blurring. To support conversations about how to include generative AI in your teaching  you are invited to participate in a new  Teaching and Learning with Generative AI  self-paced course designed by university experts to support Generative AI usage by faculty and staff. Click here to Self-enroll in the Canvas course now. This course includes foundational information about generative AI as well as practical ideas for implementation into courses. It is not necessary to complete the entire course. Each module can be completed individually to give you immediate access to the information you need. Whether you plan to incorporate Gen AI into your course or avoid it  explain your policies in the course syllabus. Sample language is here. The ASU Library Guide on Citing Generative AI Models shows examples of how to cite usage of Generative AI in the most common academic styles. As these conversations take place  this website will be continually updated with resources for the ASU community. Our goal is to approach generative AI in a way that embraces its benefits while providing recommendations and guidelines on how to prevent its misuse. Generative AI is a broad term that refers to a type of artificial intelligence (AI) application that is designed to use a variety of machine learning algorithms to create new content (text  images  video  music  artwork  synthetic data  etc.) based on user input that was not explicitly programmed into the AI application. Generative AI systems are  trained  by using complex algorithms to learn from an existing large corpus of datasets (often consisting of millions of examples) and to analyze patterns  rules and statistical structures from the sample data to be used in generating new content that is similar in style and characteristics to the original training datasets. There are many different types of generative AI applications and models  and while they might share a similar high-level definition of creating new content based on large sets of training data  they often represent completely different machine learning models  underlying neural network technologies and approaches to generating new content. You may have heard of recent popular examples of generative AI such as ChatGPT  DALL-E or StableDiffusion. While these are all examples of generative AI applications  DALL-E and StableDiffusion are text-to-image generators that use a type of neural network called generative adversarial network (GAN) to create a new image based on two systems (a generator and discriminator) surfacing an image of best fit based on the input parameters. By contrast  ChatGPT builds a transformer-based language model from a generative pre-trained transformer (GPT) to process sequential data  such as language  and then calculate the most probable words that will follow in a sequenced response. Generative AI and the broader classification of artificial intelligence have been identified by UNESCO as having the potential to  address some of the biggest challenges in education today  innovate teaching and learning practices  and accelerate progress  as well as calling for a human-centered approach to respond to inequalities"

"University of California  Riverside",   "Guidelines for Use of Generative Artificial Intelligence in Instructional Settings at UCR Generative Artificial Intelligence (AI) refers to a class of statistical models trained on massive amounts of data which are able to produce human-like responses in the form of text  computer code  images  audio  and video. Well-known examples include Google Bard and ChatGPT. Generative AI is being rapidly adopted throughout our economy and society  including in educational settings  while developers and users are still discovering its capabilities  benefits  and challenges. Governments are considering how to regulate these tools  but it is a near certainty that they are here to stay. Students  faculty  and staff therefore will need to learn how to utilize generative AI in their professional and personal lives. The purpose of these guiding principles and suggested practices is to provide a starting point for managing these tools in instructional settings at UCR. Guiding Principles 1. User accountability. Generative AI is capable of producing human-like responses  but these responses are not always accurate and/or may violate intellectual property rights. They also may perpetuate biases inherent in their design and/or training datasets. Anyone using generative AI for any purpose is accountable for the consequences of their use  regardless of the nature of the AI-generated content. This accountability applies to all aspects of teaching and learning  and includes but is not limited to violations of academic integrity policies  other institutional policies and rules  and applicable laws including those related to intellectual property. 2. Information security. Anything that is uploaded to a publicly available AI tool effectively enters the public domain. Instructional technologies including generative AI which have not passed a campus security review may be used with public data only. 3. Beneficial use. Like many other technologies  generative AI can be used in both helpful and harmful ways. Any use of generative AI in an instructional setting  by instructors or students  should aim to improve the learning experience for students and better position students for academic and post-graduation success. 4. Mission-aligned use. The use of generative AI in instructional settings should aim to advance the university s instructional mission. This includes a strong emphasis on equitable access  opportunity  and achievement. Students must have equal access to generative AI tools when used in instructional settings. 5. Local authority. Generative AI is a broadly applicable tool for which common standards of use have not yet been developed. Evolving standards tend to be highly dependent on local circumstances and context  and on the preferences and judgments of those with local authority. In instructional settings  this means the Instructor of Record has broad latitude to determine whether and how generative AI may be used  provided this use is consistent with applicable policies and rules governing data security and instruction at UCR. 6. Transparency. Generative AI is a potentially useful and powerful information source and thought partner which can enhance productivity and learning. Anyone who utilizes generative AI to assist with the creation of intellectual material must conform with prevailing ethical scholarship practices  rules related to plagiarism  and standards for representing intellectual products as one s own work. Suggested Practices for Instructors Be mindful of security and privacy concerns. Proliferation of generative AI offers benefits but also raises security and privacy concerns. Vulnerabilities can lead to data breaches and loss of intellectual property. Adhering to AI security and privacy practices is vital to protecting UCR s intellectual property and individual user data. August 2023 Get familiar with generative AI. Log into your UCR Google Bard account and experiment with different prompts (UCR has limited protections with Bard compared to ChatGPT). UCR has contractual guarantees with Google (GCP) and the AI tools they offer in Generative AI Studio but not with companies offering other AI tools (e.g.  ChatGPT  Anthropic  etc). This allows more freedom to explore and utilize Google s GCP AI tools while minimizing security and privacy concerns. More information can be found in this ITS knowledge article or contact michael.kennedy@ucr.edu for further details on Generative AI Studio in GCP. Consider how your course can benefit from generative AI. Are there any course management tasks that generative AI can help you with? Some instructors are using it to help with things like writing or rewriting sections of a syllabus  lesson plan  or content summary. This may be worthwhile if it frees up time for other higher-value instructional tasks. Similarly  are there any tasks that generative AI can help your students with  freeing up time for them to focus on higher-value learning activities? XCITE has additional resources to help you think this through. Check here for the latest instructional guidance  or contact XCITE directly about workshops and consultations. Check back often for updates since this is a rapidly changing area. Review and update your assessment methods. Generative AI poses both challenges and opportunities for student assessment. Consider implementing authentic assessment methods in your course. This refers to assessment methods that are consistent with the practical application of knowledge and skills  in the real world  – including what is likely to be widespread use of generative AI. If you choose to keep more traditional assessment methods  think carefully about the implications of generative AI for how you structure and administer these assessments. You may need to change the outcomes you are assessing and/or the conditions under which the assessment takes place. Learn from your colleagues. Professional practices for using generative AI are developing and undoubtedly will vary by academic discipline. Consider using any available standards in your discipline to guide development of your course standards. Also consider how you can achieve some degree of alignment of your course standards with those of your immediate colleagues  as students stand to benefit from some degree of consistency at the department-level. Talk about generative AI with your students. Establish clear expectations in your syllabus  including how students should cite and document their use of generative AI. XCITE has developed some suggested syllabus language which you can modify to suit your needs. For additional examples  consult this curated open-source document. Also establish clear expectations for each assessment to help avoid potential academic integrity issues. If you suspect academic misconduct  follow the standard campus procedures and keep in mind that automated AI detection tools can be inaccurate and prone to bias. Share your own ideas about generative AI with your students including how you are using it in your research and teaching. Remind students that over-reliance on generative AI can undermine their education  opportunities for intellectual growth  and likelihood of success on in-class assessments and in job interviews."

"University of Iowa",  "Guidelines for the secure and ethical use of Artificial Intelligence. Recent developments in the field of artificial intelligence (AI) have generated much discussion on the role of AI within higher education.  Many questions have been raised about risks related to security  privacy  and ethical considerations. Because this field is quickly evolving  guidance is needed to help understand and evaluate these risks.  The following are key points to understand: The University of Iowa does not have a contract or agreement for most AI tools or services. This means that standard UI security  privacy  and compliance provisions are not in place when using these technologies. As with any other IT service or product with no university contract or agreement  AI tools should only be used with institutional data classified as PUBLIC (Low Sensitivity).  See UI Data Classification Levels for descriptions and examples of each data classification. AI tools can generate incomplete  incorrect  or biased responses  so any output should be closely reviewed and verified by a human. AI-generated code should not be used for institutional IT systems and services unless it is reviewed by a human. Faculty  staff and students should be aware OpenAI Usage policies disallow the use of its products for other specific activities. Risks in this area are both positive and negative.  Since the potential benefits associated with responsible use of AI are significant  any decision on the use of AI must consider both the potential positive and negative impacts. 6A recent QuickPoll from Educause identified many areas of concern related to the field of AI  and a Special Report from the same organization serves as an opportunity for more in-depth exploration of the issues. The National Institute of Standards and Technology (NIST) has published a draft AI Risk Management Framework to help organizations use a formal approach to managing AI risks.  The Framework lists the following attributes of trustworthy AI: Valid and Reliable.  Trustworthy AI produces accurate results within expected timeframes. Safe.  Trustworthy AI produces results that conform to safety expectations for the environment in which the AI is used (e.g.  healthcare  transportation  etc.) Fair – and Bias is Managed.  Bias can manifest in many ways; standards and expectations for bias minimization should be defined prior to using AI. Secure and Resilient.  Security is judged according to the standard triad of confidentiality  integrity and availability.  Resilience is the degree to which the AI can withstand and recover from attack. Transparent and Accountable.  Transparency refers to the ability to understand information about the AI system itself  as well as understanding when one is working with AI-generated (rather than human-generated) information.  Accountability is the shared responsibility of the creators/vendors of the AI as well as those who have chosen to implement AI for a particular purpose. Explainable and Interpretable.  These terms relate to the ability to explain how an output was generated  and how to understand the meaning of the output.  NIST provides examples related to rental applications and medical diagnosis in NISTIR 8367 Psychological Foundations of Explainability and Interpretability in Artificial Intelligence Privacy-enhanced.  This refers to privacy from both a legal and ethical standpoint.  This may overlap with some of the previously listed attributes."

"Northeastern University",    "How is Higher Education Responding? Recent advances in AI are so new that educators are just beginning to consider what these new tools might mean for their teaching and their students learning. While it may be tempting to focus on potential negative consequences  AI also presents an opportunity to make modifications in our teaching that will improve and personalize student learning  and even to make creative use of the tools that will help prepare students to thrive in the technology enhanced world in which they will live and work. Address your concerns with positive intention. Phrases like  integrity    honesty   and  cheating  can suggest a stance of suspicion and punishment in relation to students. Talking with students about the benefits of  originality  and your hopes for how their work in your class will help them personally will help them understand your motivation for discouraging inappropriate use of AI. Consider revising your assignments to emphasize the work development process  and include an in person or recorded component. Set interim deliverables for major assignments that include rounds of instructor and peer feedback (e.g.  brainstorming questions/ideas  finding and annotating sources  outline/draft  final written product/presentation). Have students include a written explanation of how they used the feedback they received to improve their work  citing specific changes. Tap into the uniqueness of students lives. Have students share their prior experiences and goals for the future  then ask them to personalize their project work according to those interests. Consider taking a students-as-makers approach. Students will be more engaged because they see the relevance of what they are doing to their lives  and it will be much more difficult to get AI to do their work Avoid generic assignments such as term papers that are easy to create with AI  and consider having students present their work in several formats  such as a digital poster in place of or in addition to a written component. Consider adopting an I-Search format in which students get to identify questions that are personally interesting to them  tell the story of what sparked their curiosity  and document their process of finding answers that leverage their interests to address pressing concerns in the world. Emphasize the importance of questions. The ability to identify and refine compelling questions will become increasingly essential in a world where previously-identified answers can be accessed in a matter of seconds. The Right Question Institute has developed a process for question formulation that is relevant to cutting edge work in most contexts and disciplines. If you choose to lean into AI  this could be a preliminary step to prompting ChatGPT or another AI tool for a response. Lean into technology by  learning with  AI. ChatGPT and other AI tools challenge us to understand  access  prompt  corroborate  and incorporate information in new ways. Educational experiences that help students develop these capabilities will equip them to use AI effectively. For example  have students generate an AI response to a prompt  then critique and fact check the product. What questions can the tool answer adequately? What are its limitations? In what aspects is the response flat-out wrong? Another option is to have students develop successive drafts of a piece with ChatGPT  documenting how they refined prompts for each draft and reflecting on the strengths or limitations of the prompt in light of the output. They will increase their understanding and critical thinking about the topic while also developing key technology and information literacy skills."


"University of Cincinnati", "Why Students Need to Know about Generative AI Most of our students entering the workforce will be using AI daily  either by choice or by requirement. AI is less likely to eliminate jobs  than it is to transform jobs  and the difference in employability within a field will likely be down to who uses AI and who doesn t. Our students need us to allow them to use and critically discuss AI in the classroom  as applicable  while maintaining the rigor and values of our discipline areas. AI tools have the potential to generate academic outputs which meet the requirement of particular assessment types  including essays  reports   tests etc. This presents a number of key challenges for educators. As AI capabilities expand  it becomes increasingly difficult to ascertain what has been generated by digital tools and what has been generated by a human. As a result  generative AI poses an increasing threat to academic integrity in all disciplines  particularly to text-based and computational assignments. Generative AI tools  such as ChatGPT  can be used to take  shortcuts with assignments. Lines are blurring between plagiarism  fraud  and cheating: particularly where students are unclear on the boundaries between legitimate use of artificial intelligence (for example  spell-check  voice-to-text  grammar support tools etc.) and fraudulent use of AI-generated text presented as a student s own work.Modified from Generative Artificial Intelligence & Academic Integrity (Centre for Academic Practice  Trinity College Dublin  2023). The recently revised UC Student Code of Conduct lists  unauthorized use of artificial intelligence  as a form of academic misconduct under  Cheating  Use your syllabi to communicate whether and how generative AI tools can be used in your courses. Find links to sample syllabus statements in Resources on Generative AI and ChatGPT.Resources listed below include tips on responding to challenges related to use of AI in student work with changes to assessment design."


"University of Miami",  "Generative artificial intelligence (AI) tools  like ChatGPT  have the potential to transform our world. They can draft a story or essay  explain quantum physics in simple terms  create a new piece of music  code a new computer program  and even create an image  drawing upon all of the data from the internet to form their response to a given prompt. So naturally  when these tools became available last fall  it caused instructors across the world to question the originality of their students work. But rather than fret about this novel technology or require students to complete all their assignments and tests in person  University of Miami leaders hope that faculty members will embrace generative AI tools in their classes to fully prepare students for the future. This is an important change in our technology ecosystem  and it s crucial for us to understand and talk about these new tools with our students—to learn about its affordances and constraints—instead of pretending it s not there   said Kathi Kern  the University s vice provost for educational innovation  who also oversees the Platform for Excellence in Teaching and Learning (PETAL).  We re in a sandbox moment  so let s dip our toes in and be part of that conversation because we don t know yet all of the ways that this might reshape our work lives  cultures  and our educational practices.  Faculty members across the University already are experimenting with ways to incorporate generative AI into their classes  said Allan Gyorke  associate vice president for information technology and assistant provost for educational innovation. Computer science instructors in the College of Arts and Sciences have asked students to create code using generative AI  and then during class  they discuss whether the code is accurate  optimized  and if it could be improved. Marketing courses at the Miami Herbert Business School are planning to test the strength of AI tools to generate campaign or product pitches  and Frost School of Music faculty members are using it to deconstruct  analyze  and compose music. However  Gyorke and Kern caution that these tools are not foolproof. At times they offer inaccurate results and cannot distinguish between fact or fiction. Free tools like ChatGPT also collect personal data from everyone using them  which is why the University currently encourages the use of software like Adobe Firefly and Bing Chat Enterprise  since they do not collect a user s personal information. With a tool like ChatGPT  you don t have control over how your data is used   Gyorke said  adding that Bing Chat Enterprise uses similar technology to ChatGPT but instead keeps users data private.  We wanted to provide an AI chat tool that could be used in a more secure way.  Still  there are plenty of ways to safely utilize the new tools. And both Gyorke and Kern look forward to hearing how other faculty members are exploring generative AI. When two of Kern s students missed an in-class quiz in a course she was teaching in Rome last spring  she asked them to use AI tools to respond to a written prompt she had given the rest of the class. Then  she challenged the students to critique the response as if they were teaching assistants and to offer suggestions about how to expand on it. Kern also envisions students using image generating tools—like Adobe Firefly—to create illustrations of abstract topics  like photosynthesis or the theme of a novel.  Teaching students how to create prompts for generative AI tools is something we can do right now that s exciting   Kern said.  But the availability of this technology puts the onus on us as instructors to make our assessments of student learning more authentic and less task oriented. This means it s more important than ever to teach critical thinking skills  content knowledge  and powers of analysis. So that students can evaluate the output of generative AI for themselves.  Because the technology is still evolving  administrators also want to offer guidelines for students and faculty and staff members about the use of generative AI on campus. Chiefly  they caution anyone in the University community against putting personal student or patient information into these tools. They also ask faculty members to avoid using generative AI detection tools for assessments like papers and tests  because these programs are often prone to error and unfairly target students whose home language is not English  Kern pointed out. The rapid availability of new generative AI tools has sparked new collaborations among University faculty members. The following are some generative AI resources for students and faculty and staff members  as well as opportunities to join the campus conversation about these new tools. The AI Guidelines for Teaching  Learning  and Scholarship  hosted on the PETAL website  provide guidance for faculty members  examples of using generative AI  and sample syllabus language. Two new tools—Adobe Firefly and Bing Chat Enterprise—are free to the University community. The University of Miami Information Technology Department has facts about these tools and generative AI on their new AI Tools page  which will be updated as new tools are reviewed and licensed. Navigating AI  from the Division of Continuing and International Education  includes general information about AI tools as well as recommendations about the safest ways to use them for teaching and learning."
